X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-11438802.0246,3992057.841,72080,304002,UNKNOWN304002,MORTON,TX,79346,SUBSTATION,NOT AVAILABLE,COCHRAN,48079,USA,33.7259122080001,-102.756506907,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/22 00:00:00+00,IMAGERY,2017/03/22 00:00:00+00,1,115.0,69.0,Y,Y
-10567116.7296,3484766.436,72081,304003,UNKNOWN304003,MONT BELVIEU,TX,77523,SUBSTATION,IN SERVICE,CHAMBERS,48071,USA,29.8537643990001,-94.926024673,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/05/08 00:00:00+00,IMAGERY,2017/05/08 00:00:00+00,2,138.0,69.0,N,N
-10474130.4501,3951247.549,72082,304004,UNKNOWN304004,TEXARKANA,TX,75501,SUBSTATION,IN SERVICE,BOWIE,48037,USA,33.4204648190001,-94.090714712,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/08/27 00:00:00+00,UNVERIFIED,2018/08/27 00:00:00+00,2,-999999.0,-999999.0,N,N
-10950404.0201,3410528.6217,72083,304005,UNKNOWN304005,SAN ANTONIO,TX,78112,SUBSTATION,IN SERVICE,BEXAR,48029,USA,29.2737029300001,-98.369152985,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/01/04 00:00:00+00,IMAGERY,2017/01/04 00:00:00+00,1,138.0,69.0,N,N
-11398829.3063,3746565.8121,72086,304008,UNKNOWN304008,ODESSA,TX,79764,SUBSTATION,NOT AVAILABLE,ECTOR,48135,USA,31.872346889,-102.397425869,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/20 00:00:00+00,IMAGERY,2017/03/20 00:00:00+00,0,138.0,69.0,Y,Y
-10580254.0801,3458616.738,72087,304009,UNKNOWN304009,LA PORTE,TX,77507,SUBSTATION,NOT AVAILABLE,HARRIS,48201,USA,29.649822478,-95.0440394999999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2015/06/19 00:00:00+00,IMAGERY,2015/06/19 00:00:00+00,0,138.0,69.0,Y,Y
-11040018.3116,3333023.1893,72089,304011,DILLEY,DILLEY,TX,78017,SUBSTATION,IN SERVICE,FRIO,48163,USA,28.664577867,-99.174171863,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/04/24 00:00:00+00,IMAGERY,2017/04/24 00:00:00+00,3,138.0,69.0,N,N
-11022135.3366,4033223.3868,72091,304013,UNKNOWN304013,HARROLD,TX,76364,SUBSTATION,IN SERVICE,WILBARGER,48487,USA,34.0329211310001,-99.013526365,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/19 00:00:00+00,IMAGERY,2017/04/19 00:00:00+00,2,138.0,69.0,Y,Y
-11103346.3142,3816216.5521,72092,304014,UNKNOWN304014,ABILENE,TX,79602,SUBSTATION,IN SERVICE,TAYLOR,48441,USA,32.402157217,-99.743056989,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/18 00:00:00+00,IMAGERY,2017/04/18 00:00:00+00,1,138.0,69.0,N,N
-10801168.5484,3867311.7342,72093,304015,UNKNOWN304015,GRAND PRAIRIE,TX,75050,SUBSTATION,IN SERVICE,DALLAS,48113,USA,32.78885741,-97.028547934,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/05/02 00:00:00+00,IMAGERY,2017/05/02 00:00:00+00,3,138.0,69.0,N,N
